GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US1235000,1235000,"Jacksonville city, Florida",309087,4957,185063,5076,124024,4832
1600000US1236100,1236100,"Kendall CDP, Florida",28757,2162,19329,1962,9428,1604
1600000US1238250,1238250,"Lakeland city, Florida",39638,1864,21130,1611,18508,1567
1600000US1239425,1239425,"Largo city, Florida",37490,2016,20060,1777,17430,1789
1600000US1239550,1239550,"Lauderhill city, Florida",24410,1947,12522,1426,11888,1595
1600000US1239925,1239925,"Lehigh Acres CDP, Florida",31088,1943,18547,1544,12541,1547
1600000US1243975,1243975,"Melbourne city, Florida",33007,1882,19927,1710,13080,1719
1600000US1245000,1245000,"Miami city, Florida",153740,4031,49688,2718,104052,4116
1600000US1245025,1245025,"Miami Beach city, Florida",43453,2192,15521,1716,27932,1690
1600000US1245060,1245060,"Miami Gardens city, Florida",31109,1483,21544,1708,9565,1472
1600000US1245975,1245975,"Miramar city, Florida",38090,1997,28863,2047,9227,1893
1600000US1253000,1253000,"Orlando city, Florida",102564,3739,37425,2442,65139,3247
1600000US1254000,1254000,"Palm Bay city, Florida",37700,2300,27384,2260,10316,1774
1600000US1254200,1254200,"Palm Coast city, Florida",28105,1785,21811,1694,6294,1269
1600000US1255775,1255775,"Pembroke Pines city, Florida",57150,2648,41198,2663,15952,2028
1600000US1256825,1256825,"Pine Hills CDP, Florida",18592,1686,10724,1366,7868,1480
1600000US1257425,1257425,"Plantation city, Florida",33753,1580,22426,1741,11327,1634
1600000US1258050,1258050,"Pompano Beach city, Florida",39679,2327,23833,2212,15846,1715
1600000US1258715,1258715,"Port St. Lucie city, Florida",59766,2410,45885,2925,13881,2342
1600000US1260950,1260950,"Riverview CDP, Florida",26709,1865,19281,1659,7428,1630
1600000US1263000,1263000,"St. Petersburg city, Florida",105668,2623,60817,2624,44851,2510
1600000US1268350,1268350,"Spring Hill CDP, Florida",38264,2127,29474,2087,8790,1500
1600000US1269700,1269700,"Sunrise city, Florida",31667,1626,22749,1619,8918,1340
1600000US1270600,1270600,"Tallahassee city, Florida",72133,2547,29128,1694,43005,2672
1600000US1271000,1271000,"Tampa city, Florida",139401,3881,67099,3194,72302,3251
1600000US1272145,1272145,"Town 'n' Country CDP, Florida",29326,2317,17759,1759,11567,1673
1600000US1276582,1276582,"Weston city, Florida",20612,1419,15939,1613,4673,1041
1600000US1276600,1276600,"West Palm Beach city, Florida",43303,2809,22296,1904,21007,2142
1600000US1301052,1301052,"Albany city, Georgia",29597,1420,11458,1072,18139,1491
1600000US1303440,1303440,"Athens-Clarke County unified government (balance), Georgia",40219,1819,17998,1385,22221,1913
1600000US1304000,1304000,"Atlanta city, Georgia",183442,4525,80223,3254,103219,3749
1600000US1304204,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",71633,2160,37193,1884,34440,2257
1600000US1319000,1319000,"Columbus city, Georgia",71719,2110,37373,2063,34346,2276
1600000US1342425,1342425,"Johns Creek city, Georgia",26316,1269,20928,1775,5388,1228
1600000US1349000,1349000,"Macon city, Georgia",31995,1847,13714,1342,18281,1556
1600000US1367284,1367284,"Roswell city, Georgia",34529,1862,22538,1756,11991,1582
1600000US1368516,1368516,"Sandy Springs city, Georgia",42305,2280,18990,1811,23315,2038
1600000US1369000,1369000,"Savannah city, Georgia",53257,2359,22930,1717,30327,2322
1600000US1380508,1380508,"Warner Robins city, Georgia",25761,1594,14786,1600,10975,1708
1600000US1571550,1571550,"Urban Honolulu CDP, Hawaii",124455,2940,52456,2323,71999,2594
1600000US1608830,1608830,"Boise City city, Idaho",88900,2055,51227,2840,37673,2273
1600000US1652120,1652120,"Meridian city, Idaho",26174,1330,19140,1970,7034,1359
1600000US1656260,1656260,"Nampa city, Idaho",27680,1451,16618,1517,11062,1832
1600000US1702154,1702154,"Arlington Heights village, Illinois",30711,1650,23086,1303,7625,1342
1600000US1703012,1703012,"Aurora city, Illinois",63858,2112,44708,2145,19150,1785
1600000US1706613,1706613,"Bloomington city, Illinois",32244,1062,19616,1351,12628,1435
1600000US1707133,1707133,"Bolingbrook village, Illinois",22039,1224,17886,1191,4153,877
1600000US1712385,1712385,"Champaign city, Illinois",33123,1889,16415,1345,16708,1782
1600000US1714000,1714000,"Chicago city, Illinois",1032074,6757,457833,7497,574241,7637
1600000US1714351,1714351,"Cicero town, Illinois",20267,1279,9808,898,10459,1399
1600000US1718823,1718823,"Decatur city, Illinois",32737,1181,19488,1299,13249,1391
1600000US1723074,1723074,"Elgin city, Illinois",33548,2142,22041,2099,11507,1419
1600000US1724582,1724582,"Evanston city, Illinois",27527,1703,14802,1366,12725,1572
1600000US1738570,1738570,"Joliet city, Illinois",47376,2105,35044,1820,12332,1493
1600000US1751622,1751622,"Naperville city, Illinois",49444,1568,38329,1703,11115,1304
1600000US1757225,1757225,"Palatine village, Illinois",26369,1375,18169,1514,8200,1356
1600000US1759000,1759000,"Peoria city, Illinois",47852,1780,26285,1917,21567,1676
1600000US1765000,1765000,"Rockford city, Illinois",58817,1790,31858,1990,26959,1607
1600000US1768003,1768003,"Schaumburg village, Illinois",29500,1875,19165,1690,10335,1323
1600000US1770122,1770122,"Skokie village, Illinois",23208,1501,16175,1335,7033,1054
1600000US1772000,1772000,"Springfield city, Illinois",49776,1588,31831,1668,17945,1717
1600000US1779293,1779293,"Waukegan city, Illinois",28115,1547,14033,1237,14082,1405
1600000US1805860,1805860,"Bloomington city, Indiana",28890,1647,9466,1122,19424,1687
1600000US1810342,1810342,"Carmel city, Indiana",31169,1375,23992,1514,7177,1266
1600000US1822000,1822000,"Evansville city, Indiana",51135,1805,27636,1443,23499,1620
1600000US1823278,1823278,"Fishers town, Indiana",28840,1545,23947,1513,4893,1068
1600000US1825000,1825000,"Fort Wayne city, Indiana",100724,2012,63445,2075,37279,2117
1600000US1827000,1827000,"Gary city, Indiana",28420,1859,14596,1304,13824,1374
1600000US1831000,1831000,"Hammond city, Indiana",27471,1369,16580,1292,10891,1171
1600000US1836003,1836003,"Indianapolis city (balance), Indiana",330478,3663,176055,4652,154423,4829
1600000US1840788,1840788,"Lafayette city, Indiana",28673,1348,15130,1364,13543,1382
1600000US1851876,1851876,"Muncie city, Indiana",28058,1328,13799,1163,14259,1262
1600000US1871000,1871000,"South Bend city, Indiana",39614,1631,23863,1428,15751,1470
1600000US1912000,1912000,"Cedar Rapids city, Iowa",50824,1717,35068,1587,15756,1745
1600000US1919000,1919000,"Davenport city, Iowa",40610,1338,24874,1342,15736,1338
1600000US1921000,1921000,"Des Moines city, Iowa",81387,2390,51479,2205,29908,1849
1600000US1938595,1938595,"Iowa City city, Iowa",28398,1381,13865,1062,14533,1239
1600000US1973335,1973335,"Sioux City city, Iowa",30608,1171,19637,1537,10971,1443
1600000US1982425,1982425,"Waterloo city, Iowa",28698,1071,19147,1084,9551,1163
1600000US2036000,2036000,"Kansas City city, Kansas",54053,1581,31358,1521,22695,1402
1600000US2038900,2038900,"Lawrence city, Kansas",34317,1690,15789,1406,18528,1664
1600000US2052575,2052575,"Olathe city, Kansas",46069,1609,34098,1474,11971,1380
